conv0/Conv2D 1,3,331,331@0x6febc3b810; 1,96,165,165@0x6febc3b860; none 1;4;13;26;49;
cell_stem_1/comb_iter_2/right/Relu 1,84,83,83@0x6febc3c8f0; 1,84,83,83@0x6febc3cb70; 65; 76;
cell_stem_1/comb_iter_2/right/separable_5x5_1/separable_conv2d/depthwise 1,84,83,83@0x6febc3cb70; 1,84,42,42@0x6febc3cbc0; 75; 77;
cell_stem_1/comb_iter_2/right/separable_5x5_1/separable_conv2d 1,84,42,42@0x6febc3cbc0; 1,84,42,42@0x6febc3cc10; 76; 78;
cell_stem_1/comb_iter_2/right/separable_5x5_2/separable_conv2d/depthwise 1,84,42,42@0x6febc3cc10; 1,84,42,42@0x6febc3cc60; 77; 79;
cell_stem_1/comb_iter_2/right/separable_5x5_2/separable_conv2d 1,84,42,42@0x6febc3cc60; 1,84,42,42@0x6febc3ccb0; 78; 81;
cell_stem_1/comb_iter_2/left/AvgPool2D/AvgPool___tr4cell_stem_1/comb_iter_2/combine/add 1,84,42,42@0x6febc3cb20; 1,84,42,42@0x6fd13fe470; 74; 82;
cell_stem_1/comb_iter_2/right/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_stem_1/comb_iter_2/combine/add 1,84,42,42@0x6febc3ccb0; 1,84,42,42@0x6fd13fe4c0; 79; 82;
cell_stem_1/comb_iter_2/combine/add 1,84,42,42@0x6fd13fe470;1,84,42,42@0x6fd13fe4c0; 1,84,42,42@0x6febc3cd00; 80;81; 106;
cell_stem_1/comb_iter_0/left/Relu 1,84,83,83@0x6febc3c490; 1,84,83,83@0x6febc3cd50; 47; 84;
cell_stem_1/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,84,83,83@0x6febc3cd50; 1,84,42,42@0x6febc3cda0; 83; 85;
cell_stem_1/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,84,42,42@0x6febc3cda0; 1,84,42,42@0x6febc3cdf0; 84; 86;
cell_stem_1/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,84,42,42@0x6febc3cdf0; 1,84,42,42@0x6febc3ce40; 85; 87;
cell_stem_1/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,84,42,42@0x6febc3ce40; 1,84,42,42@0x6febc3ce90; 86; 93;
cell_stem_1/comb_iter_0/right/Relu 1,84,83,83@0x6febc3c8f0; 1,84,83,83@0x6febc3cee0; 65; 89;
cell_stem_1/comb_iter_0/right/separable_7x7_1/separable_conv2d/depthwise 1,84,83,83@0x6febc3cee0; 1,84,42,42@0x6febc3cf30; 88; 90;
