conv0/Conv2D 1,3,224,224@0x7d7ac3b810; 1,32,111,111@0x7d7ac3b860; none 1;4;13;26;49;
cell_stem_1/comb_iter_1/right/separable_7x7_2/separable_conv2d 1,22,28,28@0x7d7ac3ca30; 1,22,28,28@0x7d7ac3ca80; 69; 72;
cell_stem_1/comb_iter_1/left/MaxPool2D/MaxPool___tr4cell_stem_1/comb_iter_1/combine/add 1,22,28,28@0x7d7ac3c4e0; 1,22,28,28@0x7d7ac1bc90; 48; 73;
cell_stem_1/comb_iter_1/right/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_stem_1/comb_iter_1/combine/add 1,22,28,28@0x7d7ac3ca80; 1,22,28,28@0x7d7ac1bce0; 70; 73;
cell_stem_1/comb_iter_1/combine/add 1,22,28,28@0x7d7ac1bc90;1,22,28,28@0x7d7ac1bce0; 1,22,28,28@0x7d7ac3cad0; 71;72; 96;106;
cell_stem_1/comb_iter_2/left/AvgPool2D/AvgPool 1,22,56,56@0x7d7ac3c490; 1,22,28,28@0x7d7ac3cb20; 47; 80;
cell_stem_1/comb_iter_2/right/Relu 1,22,56,56@0x7d7ac3c8f0; 1,22,56,56@0x7d7ac3cb70; 65; 76;
cell_stem_1/comb_iter_2/right/separable_5x5_1/separable_conv2d/depthwise 1,22,56,56@0x7d7ac3cb70; 1,22,28,28@0x7d7ac3cbc0; 75; 77;
cell_stem_1/comb_iter_2/right/separable_5x5_1/separable_conv2d 1,22,28,28@0x7d7ac3cbc0; 1,22,28,28@0x7d7ac3cc10; 76; 78;
cell_stem_1/comb_iter_2/right/separable_5x5_2/separable_conv2d/depthwise 1,22,28,28@0x7d7ac3cc10; 1,22,28,28@0x7d7ac3cc60; 77; 79;
cell_stem_1/comb_iter_2/right/separable_5x5_2/separable_conv2d 1,22,28,28@0x7d7ac3cc60; 1,22,28,28@0x7d7ac3ccb0; 78; 81;
cell_stem_1/comb_iter_2/left/AvgPool2D/AvgPool___tr4cell_stem_1/comb_iter_2/combine/add 1,22,28,28@0x7d7ac3cb20; 1,22,28,28@0x7d7ac1bd30; 74; 82;
cell_stem_1/comb_iter_2/right/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_stem_1/comb_iter_2/combine/add 1,22,28,28@0x7d7ac3ccb0; 1,22,28,28@0x7d7ac1bd80; 79; 82;
cell_stem_1/comb_iter_2/combine/add 1,22,28,28@0x7d7ac1bd30;1,22,28,28@0x7d7ac1bd80; 1,22,28,28@0x7d7ac3cd00; 80;81; 106;
cell_stem_1/comb_iter_0/left/Relu 1,22,56,56@0x7d7ac3c490; 1,22,56,56@0x7d7ac3cd50; 47; 84;
cell_stem_1/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,22,56,56@0x7d7ac3cd50; 1,22,28,28@0x7d7ac3cda0; 83; 85;
cell_stem_1/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,22,28,28@0x7d7ac3cda0; 1,22,28,28@0x7d7ac3cdf0; 84; 86;
cell_stem_1/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,22,28,28@0x7d7ac3cdf0; 1,22,28,28@0x7d7ac3ce40; 85; 87;
cell_stem_1/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,22,28,28@0x7d7ac3ce40; 1,22,28,28@0x7d7ac3ce90; 86; 93;
cell_stem_1/comb_iter_0/right/Relu 1,22,56,56@0x7d7ac3c8f0; 1,22,56,56@0x7d7ac3cee0; 65; 89;
cell_stem_1/comb_iter_0/right/separable_7x7_1/separable_conv2d/depthwise 1,22,56,56@0x7d7ac3cee0; 1,22,28,28@0x7d7ac3cf30; 88; 90;
cell_stem_1/comb_iter_0/right/separable_7x7_1/separable_conv2d 1,22,28,28@0x7d7ac3cf30; 1,22,28,28@0x7d7ac3cf80; 89; 91;
cell_stem_1/comb_iter_0/right/separable_7x7_2/separable_conv2d/depthwise 1,22,28,28@0x7d7ac3cf80; 1,22,28,28@0x7d7ac3cfd0; 90; 92;
cell_stem_1/comb_iter_0/right/separable_7x7_2/separable_conv2d 1,22,28,28@0x7d7ac3cfd0; 1,22,28,28@0x7d7ac3d020; 91; 93;
