conv0/Conv2D 1,3,331,331@0x722703b810; 1,96,165,165@0x722703b860; none 1;27;32;35;66;
cell_4/comb_iter_0/right/MaxPool2D/MaxPool 1,432,42,42@0x72271727b0; 1,432,21,21@0x7227172990; 371; 379;
cell_4/comb_iter_0/left/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_4/comb_iter_0/combine/add 1,432,21,21@0x7227172940; 1,432,21,21@0x720c3fabe0; 376; 380;
cell_4/comb_iter_0/right/MaxPool2D/MaxPool___tr4cell_4/comb_iter_0/combine/add 1,432,21,21@0x7227172990; 1,432,21,21@0x720c3fac30; 377; 380;
cell_4/comb_iter_0/combine/add 1,432,21,21@0x720c3fabe0;1,432,21,21@0x720c3fac30; 1,432,21,21@0x72271729e0; 378;379; 423;
cell_4/Relu_1 1,1080,42,42@0x72271720d0; 1,1080,42,42@0x7227172a30; 344; 382;
cell_4/Relu_1___tr4cell_4/1x1/Conv2D 1,1080,42,42@0x7227172a30; 1,1080,42,42@0x720c3fac80; 381; 383;
cell_4/1x1/Conv2D 1,1080,42,42@0x720c3fac80; 1,432,42,42@0x7227172a80; 382; 384;389;393;398;409;418;
cell_4/comb_iter_1/left/Relu 1,432,42,42@0x7227172a80; 1,432,42,42@0x7227172ad0; 383; 385;
cell_4/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,432,42,42@0x7227172ad0; 1,432,21,21@0x7227172b20; 384; 386;
cell_4/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,432,21,21@0x7227172b20; 1,432,21,21@0x7227172b70; 385; 387;
cell_4/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,432,21,21@0x7227172b70; 1,432,21,21@0x7227172bc0; 386; 388;
cell_4/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,432,21,21@0x7227172bc0; 1,432,21,21@0x7227172c10; 387; 390;
cell_4/comb_iter_1/right/MaxPool2D/MaxPool 1,432,42,42@0x7227172a80; 1,432,21,21@0x7227172c60; 383; 391;
cell_4/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_4/comb_iter_1/combine/add 1,432,21,21@0x7227172c10; 1,432,21,21@0x720c3facd0; 388; 392;
cell_4/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_4/comb_iter_1/combine/add 1,432,21,21@0x7227172c60; 1,432,21,21@0x720c3fad20; 389; 392;
cell_4/comb_iter_1/combine/add 1,432,21,21@0x720c3facd0;1,432,21,21@0x720c3fad20; 1,432,21,21@0x7227172cb0; 390;391; 423;
cell_4/comb_iter_2/left/Relu 1,432,42,42@0x7227172a80; 1,432,42,42@0x7227172d00; 383; 394;
cell_4/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,432,42,42@0x7227172d00; 1,432,21,21@0x7227172d50; 393; 395;
cell_4/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,432,21,21@0x7227172d50; 1,432,21,21@0x7227172da0; 394; 396;
cell_4/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,432,21,21@0x7227172da0; 1,432,21,21@0x7227172df0; 395; 397;
cell_4/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,432,21,21@0x7227172df0; 1,432,21,21@0x7227172e40; 396; 403;
cell_4/comb_iter_2/right/Relu 1,432,42,42@0x7227172a80; 1,432,42,42@0x7227172e90; 383; 399;
cell_4/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,432,42,42@0x7227172e90; 1,432,21,21@0x7227172ee0; 398; 400;
cell_4/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,432,21,21@0x7227172ee0; 1,432,21,21@0x7227172f30; 399; 401;
cell_4/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,432,21,21@0x7227172f30; 1,432,21,21@0x7227172f80; 400; 402;
cell_4/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,432,21,21@0x7227172f80; 1,432,21,21@0x7227172fd0; 401; 403;
cell_4/comb_iter_2/combine/add 1,432,21,21@0x7227172e40;1,432,21,21@0x7227172fd0; 1,432,21,21@0x7227173020; 397;402; 404;421;
cell_4/comb_iter_3/left/Relu 1,432,21,21@0x7227173020; 1,432,21,21@0x7227173070; 403; 405;
cell_4/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,432,21,21@0x7227173070; 1,432,21,21@0x72271730c0; 404; 406;
cell_4/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,432,21,21@0x72271730c0; 1,432,21,21@0x7227173110; 405; 407;
cell_4/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,432,21,21@0x7227173110; 1,432,21,21@0x7227173160; 406; 408;
cell_4/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,432,21,21@0x7227173160; 1,432,21,21@0x72271731b0; 407; 410;
cell_4/comb_iter_3/right/MaxPool2D/MaxPool 1,432,42,42@0x7227172a80; 1,432,21,21@0x7227173200; 383; 411;
cell_4/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_4/comb_iter_3/combine/add 1,432,21,21@0x72271731b0; 1,432,21,21@0x720c3fad70; 408; 412;
cell_4/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_4/comb_iter_3/combine/add 1,432,21,21@0x7227173200; 1,432,21,21@0x720c3fadc0; 409; 412;
cell_4/comb_iter_3/combine/add 1,432,21,21@0x720c3fad70;1,432,21,21@0x720c3fadc0; 1,432,21,21@0x7227173250; 410;411; 423;
cell_4/comb_iter_4/left/Relu 1,432,42,42@0x72271727b0; 1,432,42,42@0x72271732a0; 371; 414;
cell_4/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,432,42,42@0x72271732a0; 1,432,21,21@0x72271732f0; 413; 415;
cell_4/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,432,21,21@0x72271732f0; 1,432,21,21@0x7227173340; 414; 416;
cell_4/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,432,21,21@0x7227173340; 1,432,21,21@0x7227173390; 415; 417;
cell_4/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,432,21,21@0x7227173390; 1,432,21,21@0x72271733e0; 416; 420;
cell_4/comb_iter_4/right/Relu 1,432,42,42@0x7227172a80; 1,432,42,42@0x7227173430; 383; 419;
cell_4/comb_iter_4/right/1x1/Conv2D 1,432,42,42@0x7227173430; 1,432,21,21@0x7227173480; 418; 420;
cell_4/comb_iter_4/combine/add 1,432,21,21@0x72271733e0;1,432,21,21@0x7227173480; 1,432,21,21@0x72271734d0; 417;419; 422;
cell_4/comb_iter_2/combine/add___tr4cell_4/cell_output/concat 1,432,21,21@0x7227173020; 1,432,21,21@0x720c3fae10; 403; 423;
cell_4/comb_iter_4/combine/add___tr4cell_4/cell_output/concat 1,432,21,21@0x72271734d0; 1,432,21,21@0x720c3fae60; 420; 423;
cell_4/cell_output/concat 1,432,21,21@0x72271729e0;1,432,21,21@0x7227172cb0;1,432,21,21@0x720c3fae10;1,432,21,21@0x7227173250;1,432,21,21@0x720c3fae60; 1,2160,21,21@0x7227173520; 380;392;412;421;422; 424;477;
cell_5/Relu_1 1,2160,21,21@0x7227173520; 1,2160,21,21@0x7227173570; 423; 425;
cell_5/Relu_1___tr4cell_5/1x1/Conv2D 1,2160,21,21@0x7227173570; 1,2160,21,21@0x720c3faeb0; 424; 426;
cell_5/1x1/Conv2D 1,2160,21,21@0x720c3faeb0; 1,432,21,21@0x72271735c0; 425; 427;432;436;441;452;461;
cell_5/comb_iter_1/left/Relu 1,432,21,21@0x72271735c0; 1,432,21,21@0x7227173610; 426; 428;
cell_5/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,432,21,21@0x7227173610; 1,432,21,21@0x7227173660; 427; 429;
cell_5/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,432,21,21@0x7227173660; 1,432,21,21@0x72271736b0; 428; 430;
cell_5/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,432,21,21@0x72271736b0; 1,432,21,21@0x7227173700; 429; 431;
cell_5/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,432,21,21@0x7227173700; 1,432,21,21@0x7227173750; 430; 433;
cell_5/comb_iter_1/right/MaxPool2D/MaxPool 1,432,21,21@0x72271735c0; 1,432,21,21@0x72271737a0; 426; 434;
cell_5/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_5/comb_iter_1/combine/add 1,432,21,21@0x7227173750; 1,432,21,21@0x720c3faf00; 431; 435;
cell_5/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_5/comb_iter_1/combine/add 1,432,21,21@0x72271737a0; 1,432,21,21@0x720c3faf50; 432; 435;
cell_5/comb_iter_1/combine/add 1,432,21,21@0x720c3faf00;1,432,21,21@0x720c3faf50; 1,432,21,21@0x72271737f0; 433;434; 464;
cell_5/comb_iter_2/left/Relu 1,432,21,21@0x72271735c0; 1,432,21,21@0x7227173840; 426; 437;
cell_5/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,432,21,21@0x7227173840; 1,432,21,21@0x7227173890; 436; 438;
cell_5/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,432,21,21@0x7227173890; 1,432,21,21@0x72271738e0; 437; 439;
cell_5/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,432,21,21@0x72271738e0; 1,432,21,21@0x7227173930; 438; 440;
cell_5/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,432,21,21@0x7227173930; 1,432,21,21@0x7227173980; 439; 446;
cell_5/comb_iter_2/right/Relu 1,432,21,21@0x72271735c0; 1,432,21,21@0x72271739d0; 426; 442;
cell_5/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,432,21,21@0x72271739d0; 1,432,21,21@0x7227173a20; 441; 443;
cell_5/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,432,21,21@0x7227173a20; 1,432,21,21@0x7227173a70; 442; 444;
cell_5/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,432,21,21@0x7227173a70; 1,432,21,21@0x7227173ac0; 443; 445;
cell_5/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,432,21,21@0x7227173ac0; 1,432,21,21@0x7227173b10; 444; 446;
cell_5/comb_iter_2/combine/add 1,432,21,21@0x7227173980;1,432,21,21@0x7227173b10; 1,432,21,21@0x7227173b60; 440;445; 447;462;
cell_5/comb_iter_3/left/Relu 1,432,21,21@0x7227173b60; 1,432,21,21@0x7227173bb0; 446; 448;
cell_5/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,432,21,21@0x7227173bb0; 1,432,21,21@0x7227173c00; 447; 449;
cell_5/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,432,21,21@0x7227173c00; 1,432,21,21@0x7227173c50; 448; 450;
cell_5/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,432,21,21@0x7227173c50; 1,432,21,21@0x7227173ca0; 449; 451;
cell_5/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,432,21,21@0x7227173ca0; 1,432,21,21@0x7227173cf0; 450; 453;
cell_5/comb_iter_3/right/MaxPool2D/MaxPool 1,432,21,21@0x72271735c0; 1,432,21,21@0x7227173d40; 426; 454;
cell_5/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_5/comb_iter_3/combine/add 1,432,21,21@0x7227173cf0; 1,432,21,21@0x720c3fafa0; 451; 455;
cell_5/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_5/comb_iter_3/combine/add 1,432,21,21@0x7227173d40; 1,432,21,21@0x720c3faff0; 452; 455;
cell_5/comb_iter_3/combine/add 1,432,21,21@0x720c3fafa0;1,432,21,21@0x720c3faff0; 1,432,21,21@0x7227173d90; 453;454; 464;
cell_5/comb_iter_4/left/Relu 1,432,21,21@0x72271724e0; 1,432,21,21@0x7227173de0; 359; 457;
cell_5/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,432,21,21@0x7227173de0; 1,432,21,21@0x7227173e30; 456; 458;
cell_5/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,432,21,21@0x7227173e30; 1,432,21,21@0x7227173e80; 457; 459;
cell_5/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,432,21,21@0x7227173e80; 1,432,21,21@0x7227173ed0; 458; 460;
cell_5/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,432,21,21@0x7227173ed0; 1,432,21,21@0x7227173f20; 459; 461;
cell_5/comb_iter_4/combine/add 1,432,21,21@0x7227173f20;1,432,21,21@0x72271735c0; 1,432,21,21@0x7227173f70; 426;460; 463;
cell_5/comb_iter_2/combine/add___tr4cell_5/cell_output/concat 1,432,21,21@0x7227173b60; 1,432,21,21@0x720c3fb040; 446; 464;
cell_5/comb_iter_4/combine/add___tr4cell_5/cell_output/concat 1,432,21,21@0x7227173f70; 1,432,21,21@0x720c3fb090; 461; 464;
cell_5/cell_output/concat 1,432,21,21@0x7227172710;1,432,21,21@0x72271737f0;1,432,21,21@0x720c3fb040;1,432,21,21@0x7227173d90;1,432,21,21@0x720c3fb090; 1,2160,21,21@0x7227173fc0; 368;435;455;462;463; 465;489;
cell_7/Relu 1,2160,21,21@0x7227173fc0; 1,2160,21,21@0x7227174010; 464; 466;
cell_7/Relu___tr4cell_7/prev_1x1/Conv2D 1,2160,21,21@0x7227174010; 1,2160,21,21@0x720c3fb0e0; 465; 467;
cell_7/prev_1x1/Conv2D 1,2160,21,21@0x720c3fb0e0; 1,432,21,21@0x7227174060; 466; 468;473;562;
cell_7/comb_iter_0/left/Relu 1,432,21,21@0x7227174060; 1,432,21,21@0x72271740b0; 467; 469;
cell_7/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,432,21,21@0x72271740b0; 1,432,21,21@0x7227174100; 468; 470;
cell_7/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,432,21,21@0x7227174100; 1,432,21,21@0x7227174150; 469; 471;
cell_7/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,432,21,21@0x7227174150; 1,432,21,21@0x72271741a0; 470; 472;
cell_7/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,432,21,21@0x72271741a0; 1,432,21,21@0x72271741f0; 471; 474;
cell_7/comb_iter_0/right/MaxPool2D/MaxPool 1,432,21,21@0x7227174060; 1,432,21,21@0x7227174240; 467; 475;
cell_7/comb_iter_0/left/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_7/comb_iter_0/combine/add 1,432,21,21@0x72271741f0; 1,432,21,21@0x720c3fb130; 472; 476;
cell_7/comb_iter_0/right/MaxPool2D/MaxPool___tr4cell_7/comb_iter_0/combine/add 1,432,21,21@0x7227174240; 1,432,21,21@0x720c3fb180; 473; 476;
cell_7/comb_iter_0/combine/add 1,432,21,21@0x720c3fb130;1,432,21,21@0x720c3fb180; 1,432,21,21@0x7227174290; 474;475; 570;
cell_6/Relu 1,2160,21,21@0x7227173520; 1,2160,21,21@0x72271742e0; 423; 478;
cell_6/Relu___tr4cell_6/prev_1x1/Conv2D 1,2160,21,21@0x72271742e0; 1,2160,21,21@0x720c3fb1d0; 477; 479;
cell_6/prev_1x1/Conv2D 1,2160,21,21@0x720c3fb1d0; 1,432,21,21@0x7227174330; 478; 480;485;521;
cell_6/comb_iter_0/left/Relu 1,432,21,21@0x7227174330; 1,432,21,21@0x7227174380; 479; 481;
cell_6/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,432,21,21@0x7227174380; 1,432,21,21@0x72271743d0; 480; 482;
cell_6/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,432,21,21@0x72271743d0; 1,432,21,21@0x7227174420; 481; 483;
cell_6/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,432,21,21@0x7227174420; 1,432,21,21@0x7227174470; 482; 484;
cell_6/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,432,21,21@0x7227174470; 1,432,21,21@0x72271744c0; 483; 486;
cell_6/comb_iter_0/right/MaxPool2D/MaxPool 1,432,21,21@0x7227174330; 1,432,21,21@0x7227174510; 479; 487;
cell_6/comb_iter_0/left/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_6/comb_iter_0/combine/add 1,432,21,21@0x72271744c0; 1,432,21,21@0x720c3fb220; 484; 488;
cell_6/comb_iter_0/right/MaxPool2D/MaxPool___tr4cell_6/comb_iter_0/combine/add 1,432,21,21@0x7227174510; 1,432,21,21@0x720c3fb270; 485; 488;
cell_6/comb_iter_0/combine/add 1,432,21,21@0x720c3fb220;1,432,21,21@0x720c3fb270; 1,432,21,21@0x7227174560; 486;487; 529;
cell_6/Relu_1 1,2160,21,21@0x7227173fc0; 1,2160,21,21@0x72271745b0; 464; 490;
cell_6/Relu_1___tr4cell_6/1x1/Conv2D 1,2160,21,21@0x72271745b0; 1,2160,21,21@0x720c3fb2c0; 489; 491;
cell_6/1x1/Conv2D 1,2160,21,21@0x720c3fb2c0; 1,432,21,21@0x7227174600; 490; 492;497;501;506;517;526;
cell_6/comb_iter_1/left/Relu 1,432,21,21@0x7227174600; 1,432,21,21@0x7227174650; 491; 493;
cell_6/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,432,21,21@0x7227174650; 1,432,21,21@0x72271746a0; 492; 494;
cell_6/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,432,21,21@0x72271746a0; 1,432,21,21@0x72271746f0; 493; 495;
cell_6/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,432,21,21@0x72271746f0; 1,432,21,21@0x7227174740; 494; 496;
cell_6/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,432,21,21@0x7227174740; 1,432,21,21@0x7227174790; 495; 498;
cell_6/comb_iter_1/right/MaxPool2D/MaxPool 1,432,21,21@0x7227174600; 1,432,21,21@0x72271747e0; 491; 499;
cell_6/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_6/comb_iter_1/combine/add 1,432,21,21@0x7227174790; 1,432,21,21@0x720c3fb310; 496; 500;
cell_6/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_6/comb_iter_1/combine/add 1,432,21,21@0x72271747e0; 1,432,21,21@0x720c3fb360; 497; 500;
cell_6/comb_iter_1/combine/add 1,432,21,21@0x720c3fb310;1,432,21,21@0x720c3fb360; 1,432,21,21@0x7227174830; 498;499; 529;
cell_6/comb_iter_2/left/Relu 1,432,21,21@0x7227174600; 1,432,21,21@0x7227174880; 491; 502;
cell_6/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,432,21,21@0x7227174880; 1,432,21,21@0x72271748d0; 501; 503;
cell_6/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,432,21,21@0x72271748d0; 1,432,21,21@0x7227174920; 502; 504;
cell_6/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,432,21,21@0x7227174920; 1,432,21,21@0x7227174970; 503; 505;
cell_6/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,432,21,21@0x7227174970; 1,432,21,21@0x72271749c0; 504; 511;
cell_6/comb_iter_2/right/Relu 1,432,21,21@0x7227174600; 1,432,21,21@0x7227174a10; 491; 507;
cell_6/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,432,21,21@0x7227174a10; 1,432,21,21@0x7227174a60; 506; 508;
cell_6/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,432,21,21@0x7227174a60; 1,432,21,21@0x7227174ab0; 507; 509;
cell_6/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,432,21,21@0x7227174ab0; 1,432,21,21@0x7227174b00; 508; 510;
cell_6/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,432,21,21@0x7227174b00; 1,432,21,21@0x7227174b50; 509; 511;
cell_6/comb_iter_2/combine/add 1,432,21,21@0x72271749c0;1,432,21,21@0x7227174b50; 1,432,21,21@0x7227174ba0; 505;510; 512;527;
cell_6/comb_iter_3/left/Relu 1,432,21,21@0x7227174ba0; 1,432,21,21@0x7227174bf0; 511; 513;
cell_6/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,432,21,21@0x7227174bf0; 1,432,21,21@0x7227174c40; 512; 514;
cell_6/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,432,21,21@0x7227174c40; 1,432,21,21@0x7227174c90; 513; 515;
cell_6/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,432,21,21@0x7227174c90; 1,432,21,21@0x7227174ce0; 514; 516;
cell_6/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,432,21,21@0x7227174ce0; 1,432,21,21@0x7227174d30; 515; 518;
cell_6/comb_iter_3/right/MaxPool2D/MaxPool 1,432,21,21@0x7227174600; 1,432,21,21@0x7227174d80; 491; 519;
cell_6/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_6/comb_iter_3/combine/add 1,432,21,21@0x7227174d30; 1,432,21,21@0x720c3fb3b0; 516; 520;
cell_6/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_6/comb_iter_3/combine/add 1,432,21,21@0x7227174d80; 1,432,21,21@0x720c3fb400; 517; 520;
cell_6/comb_iter_3/combine/add 1,432,21,21@0x720c3fb3b0;1,432,21,21@0x720c3fb400; 1,432,21,21@0x7227174dd0; 518;519; 529;
cell_6/comb_iter_4/left/Relu 1,432,21,21@0x7227174330; 1,432,21,21@0x7227174e20; 479; 522;
cell_6/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,432,21,21@0x7227174e20; 1,432,21,21@0x7227174e70; 521; 523;
cell_6/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,432,21,21@0x7227174e70; 1,432,21,21@0x7227174ec0; 522; 524;
cell_6/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,432,21,21@0x7227174ec0; 1,432,21,21@0x7227174f10; 523; 525;
cell_6/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,432,21,21@0x7227174f10; 1,432,21,21@0x7227174f60; 524; 526;
cell_6/comb_iter_4/combine/add 1,432,21,21@0x7227174f60;1,432,21,21@0x7227174600; 1,432,21,21@0x7227174fb0; 491;525; 528;
cell_6/comb_iter_2/combine/add___tr4cell_6/cell_output/concat 1,432,21,21@0x7227174ba0; 1,432,21,21@0x720c3fb450; 511; 529;
cell_6/comb_iter_4/combine/add___tr4cell_6/cell_output/concat 1,432,21,21@0x7227174fb0; 1,432,21,21@0x720c3fb4a0; 526; 529;
cell_6/cell_output/concat 1,432,21,21@0x7227174560;1,432,21,21@0x7227174830;1,432,21,21@0x720c3fb450;1,432,21,21@0x7227174dd0;1,432,21,21@0x720c3fb4a0; 1,2160,21,21@0x720c1fa000; 488;500;520;527;528; 530;595;
cell_7/Relu_1 1,2160,21,21@0x720c1fa000; 1,2160,21,21@0x720c1fa050; 529; 531;
cell_7/Relu_1___tr4cell_7/1x1/Conv2D 1,2160,21,21@0x720c1fa050; 1,2160,21,21@0x720c3fb4f0; 530; 532;
cell_7/1x1/Conv2D 1,2160,21,21@0x720c3fb4f0; 1,432,21,21@0x720c1fa0a0; 531; 533;538;542;547;558;567;
cell_7/comb_iter_1/left/Relu 1,432,21,21@0x720c1fa0a0; 1,432,21,21@0x720c1fa0f0; 532; 534;
cell_7/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,432,21,21@0x720c1fa0f0; 1,432,21,21@0x720c1fa140; 533; 535;
cell_7/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,432,21,21@0x720c1fa140; 1,432,21,21@0x720c1fa190; 534; 536;
cell_7/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,432,21,21@0x720c1fa190; 1,432,21,21@0x720c1fa1e0; 535; 537;
cell_7/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,432,21,21@0x720c1fa1e0; 1,432,21,21@0x720c1fa230; 536; 539;
cell_7/comb_iter_1/right/MaxPool2D/MaxPool 1,432,21,21@0x720c1fa0a0; 1,432,21,21@0x720c1fa280; 532; 540;
cell_7/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_7/comb_iter_1/combine/add 1,432,21,21@0x720c1fa230; 1,432,21,21@0x720c3fb540; 537; 541;
cell_7/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_7/comb_iter_1/combine/add 1,432,21,21@0x720c1fa280; 1,432,21,21@0x720c3fb590; 538; 541;
cell_7/comb_iter_1/combine/add 1,432,21,21@0x720c3fb540;1,432,21,21@0x720c3fb590; 1,432,21,21@0x720c1fa2d0; 539;540; 570;
cell_7/comb_iter_2/left/Relu 1,432,21,21@0x720c1fa0a0; 1,432,21,21@0x720c1fa320; 532; 543;
cell_7/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,432,21,21@0x720c1fa320; 1,432,21,21@0x720c1fa370; 542; 544;
cell_7/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,432,21,21@0x720c1fa370; 1,432,21,21@0x720c1fa3c0; 543; 545;
cell_7/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,432,21,21@0x720c1fa3c0; 1,432,21,21@0x720c1fa410; 544; 546;
cell_7/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,432,21,21@0x720c1fa410; 1,432,21,21@0x720c1fa460; 545; 552;
cell_7/comb_iter_2/right/Relu 1,432,21,21@0x720c1fa0a0; 1,432,21,21@0x720c1fa4b0; 532; 548;
cell_7/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,432,21,21@0x720c1fa4b0; 1,432,21,21@0x720c1fa500; 547; 549;
cell_7/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,432,21,21@0x720c1fa500; 1,432,21,21@0x720c1fa550; 548; 550;
cell_7/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,432,21,21@0x720c1fa550; 1,432,21,21@0x720c1fa5a0; 549; 551;
cell_7/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,432,21,21@0x720c1fa5a0; 1,432,21,21@0x720c1fa5f0; 550; 552;
cell_7/comb_iter_2/combine/add 1,432,21,21@0x720c1fa460;1,432,21,21@0x720c1fa5f0; 1,432,21,21@0x720c1fa640; 546;551; 553;568;
cell_7/comb_iter_3/left/Relu 1,432,21,21@0x720c1fa640; 1,432,21,21@0x720c1fa690; 552; 554;
cell_7/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,432,21,21@0x720c1fa690; 1,432,21,21@0x720c1fa6e0; 553; 555;
cell_7/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,432,21,21@0x720c1fa6e0; 1,432,21,21@0x720c1fa730; 554; 556;
cell_7/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,432,21,21@0x720c1fa730; 1,432,21,21@0x720c1fa780; 555; 557;
cell_7/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,432,21,21@0x720c1fa780; 1,432,21,21@0x720c1fa7d0; 556; 559;
cell_7/comb_iter_3/right/MaxPool2D/MaxPool 1,432,21,21@0x720c1fa0a0; 1,432,21,21@0x720c1fa820; 532; 560;
cell_7/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_7/comb_iter_3/combine/add 1,432,21,21@0x720c1fa7d0; 1,432,21,21@0x720c3fb5e0; 557; 561;
cell_7/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_7/comb_iter_3/combine/add 1,432,21,21@0x720c1fa820; 1,432,21,21@0x720c3fb630; 558; 561;
