conv0/Conv2D 1,3,331,331@0x722703b810; 1,96,165,165@0x722703b860; none 1;27;32;35;66;
cell_stem_0/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,54,83,83@0x722703c300; 1,54,83,83@0x722703c350; 40; 43;
cell_stem_0/comb_iter_1/right/MaxPool2D/MaxPool 1,54,165,165@0x722703c1c0; 1,54,83,83@0x722703c3a0; 36; 44;
cell_stem_0/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_stem_0/comb_iter_1/combine/add 1,54,83,83@0x722703c350; 1,54,83,83@0x720c1fe9c0; 41; 45;
cell_stem_0/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_stem_0/comb_iter_1/combine/add 1,54,83,83@0x722703c3a0; 1,54,83,83@0x720c1fea10; 42; 45;
cell_stem_0/comb_iter_1/combine/add 1,54,83,83@0x720c1fe9c0;1,54,83,83@0x720c1fea10; 1,54,83,83@0x722703c3f0; 43;44; 74;
cell_stem_0/comb_iter_2/left/Relu 1,54,165,165@0x722703c1c0; 1,54,165,165@0x722703c440; 36; 47;
cell_stem_0/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,54,165,165@0x722703c440; 1,54,83,83@0x722703c490; 46; 48;
cell_stem_0/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,54,83,83@0x722703c490; 1,54,83,83@0x722703c4e0; 47; 49;
cell_stem_0/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,54,83,83@0x722703c4e0; 1,54,83,83@0x722703c530; 48; 50;
cell_stem_0/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,54,83,83@0x722703c530; 1,54,83,83@0x722703c580; 49; 56;
cell_stem_0/comb_iter_2/right/Relu 1,54,165,165@0x722703c1c0; 1,54,165,165@0x722703c5d0; 36; 52;
cell_stem_0/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,54,165,165@0x722703c5d0; 1,54,83,83@0x722703c620; 51; 53;
cell_stem_0/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,54,83,83@0x722703c620; 1,54,83,83@0x722703c670; 52; 54;
cell_stem_0/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,54,83,83@0x722703c670; 1,54,83,83@0x722703c6c0; 53; 55;
cell_stem_0/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,54,83,83@0x722703c6c0; 1,54,83,83@0x722703c710; 54; 56;
cell_stem_0/comb_iter_2/combine/add 1,54,83,83@0x722703c580;1,54,83,83@0x722703c710; 1,54,83,83@0x722703c760; 50;55; 57;76;
cell_stem_0/comb_iter_3/left/Relu 1,54,83,83@0x722703c760; 1,54,83,83@0x722703c7b0; 56; 58;
cell_stem_0/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,54,83,83@0x722703c7b0; 1,54,83,83@0x722703c800; 57; 59;
cell_stem_0/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,54,83,83@0x722703c800; 1,54,83,83@0x722703c850; 58; 60;
cell_stem_0/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,54,83,83@0x722703c850; 1,54,83,83@0x722703c8a0; 59; 61;
cell_stem_0/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,54,83,83@0x722703c8a0; 1,54,83,83@0x722703c8f0; 60; 63;
cell_stem_0/comb_iter_3/right/MaxPool2D/MaxPool 1,54,165,165@0x722703c1c0; 1,54,83,83@0x722703c940; 36; 64;
cell_stem_0/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_stem_0/comb_iter_3/combine/add 1,54,83,83@0x722703c8f0; 1,54,83,83@0x720c1fea60; 61; 65;
cell_stem_0/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_stem_0/comb_iter_3/combine/add 1,54,83,83@0x722703c940; 1,54,83,83@0x720c1feab0; 62; 65;
cell_stem_0/comb_iter_3/combine/add 1,54,83,83@0x720c1fea60;1,54,83,83@0x720c1feab0; 1,54,83,83@0x722703c990; 63;64; 75;
cell_stem_0/comb_iter_4/left/Relu 1,96,165,165@0x722703b860; 1,96,165,165@0x722703c9e0; 0; 67;
cell_stem_0/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,96,165,165@0x722703c9e0; 1,96,83,83@0x722703ca30; 66; 68;
cell_stem_0/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,96,83,83@0x722703ca30; 1,54,83,83@0x722703ca80; 67; 69;
cell_stem_0/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,54,83,83@0x722703ca80; 1,54,83,83@0x722703cad0; 68; 70;
cell_stem_0/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,54,83,83@0x722703cad0; 1,54,83,83@0x722703cb20; 69; 73;
cell_stem_0/comb_iter_4/right/Relu 1,54,165,165@0x722703c1c0; 1,54,165,165@0x722703cb70; 36; 72;
cell_stem_0/comb_iter_4/right/1x1/Conv2D 1,54,165,165@0x722703cb70; 1,54,83,83@0x722703cbc0; 71; 73;
cell_stem_0/comb_iter_4/combine/add 1,54,83,83@0x722703cb20;1,54,83,83@0x722703cbc0; 1,54,83,83@0x722703cc10; 70;72; 76;
cell_stem_0/comb_iter_1/combine/add___tr4cell_stem_0/cell_output/concat 1,54,83,83@0x722703c3f0; 1,54,83,83@0x720c1feb00; 45; 76;
cell_stem_0/comb_iter_3/combine/add___tr4cell_stem_0/cell_output/concat 1,54,83,83@0x722703c990; 1,54,83,83@0x720c1feb50; 65; 76;
cell_stem_0/cell_output/concat 1,54,83,83@0x722703c120;1,54,83,83@0x720c1feb00;1,54,83,83@0x722703c760;1,54,83,83@0x720c1feb50;1,54,83,83@0x722703cc10; 1,270,83,83@0x722703cc60; 34;56;73;74;75; 77;131;
cell_stem_1/Relu_1 1,270,83,83@0x722703cc60; 1,270,83,83@0x722703ccb0; 76; 78;
cell_stem_1/1x1/Conv2D 1,270,83,83@0x722703ccb0; 1,108,83,83@0x722703cd00; 77; 79;84;88;93;104;113;
cell_stem_1/comb_iter_1/left/Relu 1,108,83,83@0x722703cd00; 1,108,83,83@0x722703cd50; 78; 80;
cell_stem_1/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,108,83,83@0x722703cd50; 1,108,42,42@0x722703cda0; 79; 81;
cell_stem_1/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,108,42,42@0x722703cda0; 1,108,42,42@0x722703cdf0; 80; 82;
cell_stem_1/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,108,42,42@0x722703cdf0; 1,108,42,42@0x722703ce40; 81; 83;
cell_stem_1/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,108,42,42@0x722703ce40; 1,108,42,42@0x722703ce90; 82; 85;
cell_stem_1/comb_iter_1/right/MaxPool2D/MaxPool 1,108,83,83@0x722703cd00; 1,108,42,42@0x722703cee0; 78; 86;
cell_stem_1/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_stem_1/comb_iter_1/combine/add 1,108,42,42@0x722703ce90; 1,108,42,42@0x720c1feba0; 83; 87;
cell_stem_1/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_stem_1/comb_iter_1/combine/add 1,108,42,42@0x722703cee0; 1,108,42,42@0x720c1febf0; 84; 87;
cell_stem_1/comb_iter_1/combine/add 1,108,42,42@0x720c1feba0;1,108,42,42@0x720c1febf0; 1,108,42,42@0x722703cf30; 85;86; 118;
cell_stem_1/comb_iter_2/left/Relu 1,108,83,83@0x722703cd00; 1,108,83,83@0x722703cf80; 78; 89;
cell_stem_1/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,108,83,83@0x722703cf80; 1,108,42,42@0x722703cfd0; 88; 90;
cell_stem_1/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,108,42,42@0x722703cfd0; 1,108,42,42@0x722703d020; 89; 91;
cell_stem_1/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,108,42,42@0x722703d020; 1,108,42,42@0x722703d070; 90; 92;
cell_stem_1/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,108,42,42@0x722703d070; 1,108,42,42@0x722703d0c0; 91; 98;
cell_stem_1/comb_iter_2/right/Relu 1,108,83,83@0x722703cd00; 1,108,83,83@0x722703d110; 78; 94;
cell_stem_1/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,108,83,83@0x722703d110; 1,108,42,42@0x722703d160; 93; 95;
cell_stem_1/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,108,42,42@0x722703d160; 1,108,42,42@0x722703d1b0; 94; 96;
cell_stem_1/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,108,42,42@0x722703d1b0; 1,108,42,42@0x722703d200; 95; 97;
cell_stem_1/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,108,42,42@0x722703d200; 1,108,42,42@0x722703d250; 96; 98;
cell_stem_1/comb_iter_2/combine/add 1,108,42,42@0x722703d0c0;1,108,42,42@0x722703d250; 1,108,42,42@0x722703d2a0; 92;97; 99;116;
cell_stem_1/comb_iter_3/left/Relu 1,108,42,42@0x722703d2a0; 1,108,42,42@0x722703d2f0; 98; 100;
cell_stem_1/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,108,42,42@0x722703d2f0; 1,108,42,42@0x722703d340; 99; 101;
cell_stem_1/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,108,42,42@0x722703d340; 1,108,42,42@0x722703d390; 100; 102;
cell_stem_1/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,108,42,42@0x722703d390; 1,108,42,42@0x722703d3e0; 101; 103;
cell_stem_1/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,108,42,42@0x722703d3e0; 1,108,42,42@0x722703d430; 102; 105;
cell_stem_1/comb_iter_3/right/MaxPool2D/MaxPool 1,108,83,83@0x722703cd00; 1,108,42,42@0x722703d480; 78; 106;
cell_stem_1/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_stem_1/comb_iter_3/combine/add 1,108,42,42@0x722703d430; 1,108,42,42@0x720c1fec40; 103; 107;
cell_stem_1/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_stem_1/comb_iter_3/combine/add 1,108,42,42@0x722703d480; 1,108,42,42@0x720c1fec90; 104; 107;
cell_stem_1/comb_iter_3/combine/add 1,108,42,42@0x720c1fec40;1,108,42,42@0x720c1fec90; 1,108,42,42@0x722703d4d0; 105;106; 118;
cell_stem_1/comb_iter_4/left/Relu 1,108,83,83@0x722703bc70; 1,108,83,83@0x722703d520; 17; 109;
cell_stem_1/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,108,83,83@0x722703d520; 1,108,42,42@0x722703d570; 108; 110;
cell_stem_1/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,108,42,42@0x722703d570; 1,108,42,42@0x722703d5c0; 109; 111;
cell_stem_1/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,108,42,42@0x722703d5c0; 1,108,42,42@0x722703d610; 110; 112;
cell_stem_1/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,108,42,42@0x722703d610; 1,108,42,42@0x722703d660; 111; 115;
cell_stem_1/comb_iter_4/right/Relu 1,108,83,83@0x722703cd00; 1,108,83,83@0x722703d6b0; 78; 114;
cell_stem_1/comb_iter_4/right/1x1/Conv2D 1,108,83,83@0x722703d6b0; 1,108,42,42@0x722703d700; 113; 115;
cell_stem_1/comb_iter_4/combine/add 1,108,42,42@0x722703d660;1,108,42,42@0x722703d700; 1,108,42,42@0x722703d750; 112;114; 117;
cell_stem_1/comb_iter_2/combine/add___tr4cell_stem_1/cell_output/concat 1,108,42,42@0x722703d2a0; 1,108,42,42@0x720c1fece0; 98; 118;
cell_stem_1/comb_iter_4/combine/add___tr4cell_stem_1/cell_output/concat 1,108,42,42@0x722703d750; 1,108,42,42@0x720c1fed30; 115; 118;
